5.26km/h, 0.00 V, -0.81A , 13:5:27
55.58km/h, 65.50 V, -10.28A , 13:54:26
55.57km/h, 65.53 V, -10.18A , 13:54:26
55.56km/h, 65.46 V, -10.29A , 13:54:26
55.57km/h, 65.48 V, -10.11A , 13:54:26
55.53km/h, 65.44 V, -10.07A , 13:54:26
55.51km/h, 65.49 V, -10.23A , 13:54:26
55.49km/h, 65.51 V, -10.25A , 13:54:26
55.51km/h, 65.37 V, -10.26A , 13:54:26
55.55km/h, 65.34 V, -10.36A , 13:54:26
55.52km/h, 65.34 V, -10.25A , 13:54:26
55.55km/h, 65.28 V, -10.40A , 13:54:26
55.57km/h, 65.31 V, -10.46A , 13:54:26
55.58km/h, 65.38 V, -10.37A , 13:54:26
55.64km/h, 65.42 V, -10.43A , 13:54:26
55.68km/h, 65.59 V, -10.12A , 13:54:27
55.68km/h, 65.73 V, -9.76A , 13:54:27
55.64km/h, 65.75 V, -9.81A , 13:54:27
55.59km/h, 65.90 V, -9.68A , 13:54:27
55.51km/h, 65.97 V, -9.51A , 13:54:27
55.47km/h, 65.97 V, -9.80A , 13:54:27
55.49km/h, 65.99 V, -9.76A , 13:54:27
55.51km/h, 65.95 V, -9.75A , 13:54:27
55.50km/h, 65.97 V, -9.81A , 13:54:27
55.46km/h, 65.95 V, -9.78A , 13:54:27
55.44km/h, 65.88 V, -10.00A , 13:54:27
55.44km/h, 65.82 V, -10.21A , 13:54:27
55.47km/h, 65.80 V, -10.27A , 13:54:27
55.51km/h, 65.73 V, -10.28A , 13:54:27
55.58km/h, 65.73 V, -10.43A , 13:54:27
55.64km/h, 65.70 V, -10.32A , 13:54:27
55.61km/h, 65.69 V, -10.30A , 13:54:27
55.58km/h, 65.70 V, -10.16A , 13:54:27
55.56km/h, 65.67 V, -10.04A , 13:54:27
55.55km/h, 65.73 V, -10.23A , 13:54:27
55.56km/h, 65.75 V, -10.17A , 13:54:27
55.56km/h, 65.78 V, -10.12A , 13:54:27
55.55km/h, 65.82 V, -10.24A , 13:54:27
55.57km/h, 65.90 V, -10.24A , 13:54:27
55.59km/h, 65.87 V, -10.19A , 13:54:28
55.59km/h, 65.85 V, -10.09A , 13:54:28
55.57km/h, 65.84 V, -10.04A , 13:54:28
55.57km/h, 65.84 V, -10.23A , 13:54:28
55.61km/h, 65.79 V, -10.42A , 13:54:28
55.60km/h, 65.76 V, -10.23A , 13:54:28
55.58km/h, 65.69 V, -10.19A , 13:54:28
55.55km/h, 65.67 V, -10.00A , 13:54:28
55.52km/h, 65.65 V, -9.74A , 13:54:28
55.49km/h, 65.55 V, -9.97A , 13:54:28
55.45km/h, 65.60 V, -9.92A , 13:54:28
55.44km/h, 65.67 V, -9.76A , 13:54:28
55.44km/h, 65.69 V, -9.87A , 13:54:28
55.44km/h, 65.74 V, -9.68A , 13:54:28
55.41km/h, 65.87 V, -9.55A , 13:54:28
55.44km/h, 65.91 V, -9.67A , 13:54:28
55.45km/h, 66.05 V, -9.61A , 13:54:28
55.45km/h, 66.11 V, -9.85A , 13:54:28
55.48km/h, 66.13 V, -10.11A , 13:54:28
55.49km/h, 66.21 V, -9.91A , 13:54:28
55.47km/h, 66.17 V, -9.88A , 13:54:28
55.46km/h, 66.16 V, -9.99A , 13:54:28
55.45km/h, 66.21 V, -9.94A , 13:54:28
55.45km/h, 66.19 V, -10.04A , 13:54:28
55.44km/h, 66.09 V, -10.11A , 13:54:29
55.40km/h, 66.01 V, -10.01A , 13:54:29
55.37km/h, 65.93 V, -10.17A , 13:54:29
55.39km/h, 65.87 V, -10.14A , 13:54:29
55.36km/h, 65.83 V, -9.86A , 13:54:29
55.37km/h, 65.76 V, -9.85A , 13:54:29
55.43km/h, 65.81 V, -9.74A , 13:54:29
55.43km/h, 65.78 V, -9.68A , 13:54:29
55.43km/h, 65.66 V, -9.79A , 13:54:29
55.42km/h, 65.58 V, -9.78A , 13:54:29
55.42km/h, 65.61 V, -9.74A , 13:54:29
55.49km/h, 65.50 V, -9.95A , 13:54:29
55.53km/h, 65.47 V, -9.86A , 13:54:29
55.53km/h, 65.46 V, -9.76A , 13:54:29
55.55km/h, 65.41 V, -9.93A , 13:54:29
55.52km/h, 65.44 V, -9.92A , 13:54:29
55.44km/h, 65.40 V, -10.12A , 13:54:29
55.41km/h, 65.44 V, -10.19A , 13:54:29
55.40km/h, 65.46 V, -10.01A , 13:54:29
55.38km/h, 65.46 V, -10.15A , 13:54:29
55.40km/h, 65.36 V, -10.32A , 13:54:29
55.39km/h, 65.45 V, -10.28A , 13:54:29
55.41km/h, 65.45 V, -10.35A , 13:54:29
55.45km/h, 65.55 V, -10.26A , 13:54:29
55.46km/h, 65.67 V, -10.04A , 13:54:29
55.46km/h, 65.63 V, -10.13A , 13:54:30
55.52km/h, 65.59 V, -10.11A , 13:54:30
55.56km/h, 65.54 V, -10.09A , 13:54:30
55.57km/h, 65.59 V, -10.23A , 13:54:30
55.61km/h, 65.68 V, -10.08A , 13:54:30
55.56km/h, 65.73 V, -9.96A , 13:54:30
55.53km/h, 65.76 V, -9.90A , 13:54:30
55.45km/h, 65.75 V, -9.80A , 13:54:30
55.40km/h, 65.73 V, -9.92A , 13:54:30
55.36km/h, 65.67 V, -10.16A , 13:54:30
55.36km/h, 65.72 V, -10.16A , 13:54:30
55.37km/h, 65.76 V, -10.22A , 13:54:30
55.33km/h, 65.75 V, -10.33A , 13:54:30
55.38km/h, 65.77 V, -10.21A , 13:54:30
55.40km/h, 65.77 V, -10.28A , 13:54:30
55.44km/h, 65.95 V, -10.05A , 13:54:30
55.46km/h, 65.95 V, -9.93A , 13:54:30
55.52km/h, 65.95 V, -10.22A , 13:54:30
55.54km/h, 65.91 V, -10.17A , 13:54:30
55.59km/h, 65.87 V, -10.01A , 13:54:30
55.59km/h, 65.84 V, -10.01A , 13:54:30
55.59km/h, 65.82 V, -9.94A , 13:54:30
55.61km/h, 65.79 V, -9.83A , 13:54:30
55.59km/h, 65.73 V, -10.02A , 13:54:30
55.60km/h, 65.68 V, -9.91A , 13:54:31
55.60km/h, 65.54 V, -10.01A , 13:54:31
55.58km/h, 65.47 V, -10.12A , 13:54:31
55.56km/h, 65.45 V, -9.84A , 13:54:31
55.55km/h, 65.43 V, -9.81A , 13:54:31
55.52km/h, 65.48 V, -9.76A , 13:54:31
55.51km/h, 65.51 V, -9.73A , 13:54:31
55.53km/h, 65.51 V, -9.95A , 13:54:31
55.52km/h, 65.61 V, -9.84A , 13:54:31
55.53km/h, 65.69 V, -9.60A , 13:54:31
55.47km/h, 65.74 V, -9.77A , 13:54:31
55.48km/h, 65.77 V, -9.80A , 13:54:31
55.49km/h, 65.91 V, -9.68A , 13:54:31
55.47km/h, 65.99 V, -9.81A , 13:54:31
55.49km/h, 66.08 V, -9.83A , 13:54:31
55.49km/h, 66.13 V, -9.81A , 13:54:31
55.49km/h, 66.19 V, -9.79A , 13:54:31
55.44km/h, 66.26 V, -9.57A , 13:54:31
55.40km/h, 66.27 V, -9.78A , 13:54:31
55.32km/h, 66.18 V, -10.01A , 13:54:31
55.32km/h, 66.11 V, -9.85A , 13:54:31
55.28km/h, 66.05 V, -9.84A , 13:54:31
55.26km/h, 65.85 V, -10.04A , 13:54:31
55.28km/h, 65.77 V, -9.95A , 13:54:31
55.27km/h, 65.61 V, -10.07A , 13:54:32
55.23km/h, 65.47 V, -10.28A , 13:54:32
55.22km/h, 65.40 V, -10.23A , 13:54:32
55.22km/h, 65.34 V, -10.27A , 13:54:32
55.28km/h, 65.28 V, -10.11A , 13:54:32
55.33km/h, 65.27 V, -9.95A , 13:54:32
55.39km/h, 65.22 V, -10.20A , 13:54:32
55.44km/h, 65.20 V, -10.05A , 13:54:32
55.46km/h, 65.32 V, -9.86A , 13:54:32
55.46km/h, 65.32 V, -9.97A , 13:54:32
55.47km/h, 65.44 V, -9.82A , 13:54:32
55.52km/h, 65.53 V, -9.64A , 13:54:32
55.56km/h, 65.47 V, -9.85A , 13:54:32
55.58km/h, 65.45 V, -9.81A , 13:54:32
55.58km/h, 65.42 V, -9.97A , 13:54:32
55.58km/h, 65.46 V, -10.06A , 13:54:32
55.58km/h, 65.52 V, -9.78A , 13:54:32
55.55km/h, 65.59 V, -9.94A , 13:54:32
55.56km/h, 65.53 V, -10.11A , 13:54:32
55.55km/h, 65.59 V, -9.95A , 13:54:32
55.53km/h, 65.61 V, -10.03A , 13:54:32
55.52km/h, 65.55 V, -10.19A , 13:54:32
55.51km/h, 65.68 V, -9.93A , 13:54:32
55.51km/h, 65.72 V, -9.86A , 13:54:32
55.48km/h, 65.83 V, -9.58A , 13:54:32
55.45km/h, 65.89 V, -9.42A , 13:54:33
55.40km/h, 65.87 V, -9.67A , 13:54:33
55.42km/h, 65.88 V, -9.57A , 13:54:33
55.40km/h, 65.99 V, -9.51A , 13:54:33
55.43km/h, 66.01 V, -9.63A , 13:54:33
55.44km/h, 66.01 V, -9.59A , 13:54:33
55.44km/h, 66.08 V, -9.35A , 13:54:33
55.42km/h, 66.03 V, -9.50A , 13:54:33
55.41km/h, 66.04 V, -9.43A , 13:54:33
55.40km/h, 65.98 V, -9.72A , 13:54:33
55.43km/h, 65.91 V, -10.05A , 13:54:33
55.46km/h, 65.88 V, -9.95A , 13:54:33
55.46km/h, 65.89 V, -9.99A , 13:54:33
55.46km/h, 65.85 V, -9.93A , 13:54:33
55.44km/h, 65.77 V, -9.85A , 13:54:33
55.44km/h, 65.66 V, -9.98A , 13:54:33
55.49km/h, 65.58 V, -10.20A , 13:54:33
55.50km/h, 65.51 V, -10.21A , 13:54:33
55.55km/h, 65.46 V, -10.33A , 13:54:33
55.57km/h, 65.44 V, -10.12A , 13:54:33
55.59km/h, 65.41 V, -10.00A , 13:54:33
55.56km/h, 65.43 V, -9.97A , 13:54:33
55.59km/h, 65.49 V, -9.91A , 13:54:33
55.60km/h, 65.50 V, -9.95A , 13:54:33
55.61km/h, 65.51 V, -10.16A , 13:54:34
55.64km/h, 65.59 V, -10.01A , 13:54:34
55.61km/h, 65.67 V, -9.88A , 13:54:34
55.60km/h, 65.70 V, -9.93A , 13:54:34
55.57km/h, 65.79 V, -9.87A , 13:54:34
55.58km/h, 65.86 V, -9.95A , 13:54:34
55.54km/h, 65.95 V, -9.90A , 13:54:34
55.50km/h, 65.99 V, -9.83A , 13:54:34
55.41km/h, 65.91 V, -10.01A , 13:54:34
55.39km/h, 65.87 V, -10.20A , 13:54:34
55.38km/h, 65.89 V, -10.04A , 13:54:34
55.35km/h, 65.85 V, -10.03A , 13:54:34
55.34km/h, 65.81 V, -10.11A , 13:54:34
55.35km/h, 65.85 V, -9.90A , 13:54:34
55.33km/h, 65.76 V, -10.02A , 13:54:34
55.31km/h, 65.71 V, -9.92A , 13:54:34
55.34km/h, 65.58 V, -10.00A , 13:54:34
55.36km/h, 65.52 V, -10.11A , 13:54:34
55.44km/h, 65.53 V, -9.92A , 13:54:35
55.47km/h, 65.52 V, -9.74A , 13:54:35
55.47km/h, 65.49 V, -9.71A , 13:54:35
55.49km/h, 65.49 V, -9.70A , 13:54:35
55.49km/h, 65.48 V, -9.65A , 13:54:35
55.48km/h, 65.39 V, -9.77A , 13:54:35
55.47km/h, 65.42 V, -9.72A , 13:54:35
55.50km/h, 65.46 V, -9.81A , 13:54:35
55.45km/h, 65.51 V, -9.75A , 13:54:35
55.42km/h, 65.56 V, -9.68A , 13:54:35
55.39km/h, 65.51 V, -9.92A , 13:54:35
55.38km/h, 65.52 V, -9.81A , 13:54:35
55.38km/h, 65.55 V, -9.76A , 13:54:35
55.40km/h, 65.47 V, -10.04A , 13:54:35
55.41km/h, 65.57 V, -9.86A , 13:54:35
55.44km/h, 65.62 V, -9.71A , 13:54:35
55.43km/h, 65.63 V, -9.75A , 13:54:35
55.43km/h, 65.63 V, -9.66A , 13:54:36
55.43km/h, 65.67 V, -9.48A , 13:54:36
55.47km/h, 65.65 V, -9.52A , 13:54:36
55.45km/h, 65.64 V, -9.41A , 13:54:36
55.47km/h, 65.61 V, -9.44A , 13:54:36
55.47km/h, 65.57 V, -9.51A , 13:54:36
55.42km/h, 65.63 V, -9.30A , 13:54:36
55.39km/h, 65.55 V, -9.54A , 13:54:36
55.35km/h, 65.55 V, -9.77A , 13:54:36
55.35km/h, 65.53 V, -9.61A , 13:54:36
55.32km/h, 65.46 V, -9.84A , 13:54:36
55.37km/h, 65.40 V, -10.11A , 13:54:36
55.39km/h, 65.41 V, -10.14A , 13:54:36
55.41km/h, 65.51 V, -10.21A , 13:54:36
55.41km/h, 65.53 V, -10.32A , 13:54:36
55.43km/h, 65.65 V, -10.29A , 13:54:36
55.47km/h, 65.73 V, -10.32A , 13:54:36
55.50km/h, 65.80 V, -10.06A , 13:54:36
55.49km/h, 65.86 V, -9.85A , 13:54:36
55.48km/h, 65.91 V, -9.94A , 13:54:36
55.48km/h, 65.93 V, -9.71A , 13:54:36
55.45km/h, 65.98 V, -9.57A , 13:54:36
55.43km/h, 66.01 V, -9.60A , 13:54:36
55.41km/h, 66.01 V, -9.52A , 13:54:36
55.40km/h, 66.06 V, -9.49A , 13:54:37
55.40km/h, 65.97 V, -9.55A , 13:54:37
55.40km/h, 65.93 V, -9.44A , 13:54:37
55.39km/h, 65.88 V, -9.57A , 13:54:37
55.39km/h, 65.87 V, -9.59A , 13:54:37
55.44km/h, 65.82 V, -9.59A , 13:54:37
55.48km/h, 65.83 V, -9.72A , 13:54:37
55.50km/h, 65.81 V, -9.83A , 13:54:37
55.52km/h, 65.77 V, -9.79A , 13:54:37
55.55km/h, 65.75 V, -9.78A , 13:54:37
55.56km/h, 65.71 V, -9.73A , 13:54:37
55.52km/h, 65.71 V, -9.68A , 13:54:37
55.48km/h, 65.75 V, -9.81A , 13:54:37
55.49km/h, 65.67 V, -9.94A , 13:54:37
55.56km/h, 65.63 V, -10.06A , 13:54:37
55.54km/h, 65.66 V, -9.96A , 13:54:37
55.52km/h, 65.67 V, -9.94A , 13:54:37
55.51km/h, 65.68 V, -9.70A , 13:54:37
55.51km/h, 65.64 V, -9.73A , 13:54:37
55.49km/h, 65.58 V, -9.73A , 13:54:37
55.49km/h, 65.59 V, -9.68A , 13:54:37
55.53km/h, 65.56 V, -9.80A , 13:54:37
55.55km/h, 65.53 V, -9.64A , 13:54:37
55.55km/h, 65.59 V, -9.50A , 13:54:37
55.51km/h, 65.55 V, -9.55A , 13:54:37
55.51km/h, 65.49 V, -9.59A , 13:54:38
55.51km/h, 65.47 V, -9.52A , 13:54:38
55.51km/h, 65.45 V, -9.85A , 13:54:38
55.50km/h, 65.50 V, -9.74A , 13:54:38
55.49km/h, 65.48 V, -9.81A , 13:54:38
55.49km/h, 65.47 V, -9.92A , 13:54:38
55.47km/h, 65.50 V, -9.83A , 13:54:38
55.47km/h, 65.47 V, -9.99A , 13:54:38
55.47km/h, 65.53 V, -10.09A , 13:54:38
55.47km/h, 65.61 V, -9.94A , 13:54:38
55.50km/h, 65.67 V, -10.04A , 13:54:38
55.53km/h, 65.70 V, -10.20A , 13:54:38
55.55km/h, 65.75 V, -9.86A , 13:54:38
55.54km/h, 65.77 V, -9.93A , 13:54:38
55.57km/h, 65.85 V, -9.80A , 13:54:38
55.55km/h, 65.91 V, -9.69A , 13:54:38
55.57km/h, 65.95 V, -9.72A , 13:54:38
55.55km/h, 66.05 V, -9.54A , 13:54:38
55.56km/h, 66.03 V, -9.37A , 13:54:38
55.57km/h, 66.01 V, -9.54A , 13:54:38
55.54km/h, 66.03 V, -9.48A , 13:54:38
55.52km/h, 66.07 V, -9.42A , 13:54:38
55.52km/h, 66.10 V, -9.67A , 13:54:38
55.58km/h, 66.15 V, -9.50A , 13:54:38
55.58km/h, 66.13 V, -9.59A , 13:54:38
55.62km/h, 66.10 V, -9.77A , 13:54:39
55.62km/h, 66.13 V, -9.62A , 13:54:39
55.65km/h, 66.07 V, -9.76A , 13:54:39
55.63km/h, 66.10 V, -9.99A , 13:54:39
55.63km/h, 66.07 V, -9.81A , 13:54:39
55.61km/h, 66.07 V, -9.90A , 13:54:39
55.64km/h, 66.00 V, -10.09A , 13:54:39
55.66km/h, 66.03 V, -9.86A , 13:54:39
55.66km/h, 66.01 V, -9.98A , 13:54:39
55.67km/h, 66.01 V, -9.97A , 13:54:39
55.62km/h, 66.01 V, -9.80A , 13:54:39
55.60km/h, 65.94 V, -9.87A , 13:54:39
55.53km/h, 65.97 V, -9.95A , 13:54:39
55.56km/h, 65.93 V, -9.85A , 13:54:39
55.56km/h, 65.87 V, -10.01A , 13:54:39
55.58km/h, 65.91 V, -9.80A , 13:54:39
55.54km/h, 65.94 V, -9.54A , 13:54:39
55.52km/h, 65.87 V, -9.64A , 13:54:39
55.47km/h, 65.88 V, -9.43A , 13:54:39
55.44km/h, 65.89 V, -9.34A , 13:54:39
55.42km/h, 65.83 V, -9.44A , 13:54:39
55.42km/h, 65.83 V, -9.40A , 13:54:39
55.44km/h, 65.78 V, -9.34A , 13:54:39
55.42km/h, 65.68 V, -9.57A , 13:54:39
55.45km/h, 65.71 V, -9.46A , 13:54:40
55.47km/h, 65.61 V, -9.59A , 13:54:40
55.51km/h, 65.57 V, -9.73A , 13:54:40
55.48km/h, 65.57 V, -9.66A , 13:54:40
55.50km/h, 65.51 V, -9.88A , 13:54:40
55.50km/h, 65.45 V, -10.05A , 13:54:40
55.53km/h, 65.44 V, -9.92A , 13:54:40
55.54km/h, 65.43 V, -9.87A , 13:54:40
55.54km/h, 65.36 V, -9.97A , 13:54:40
55.50km/h, 65.42 V, -9.62A , 13:54:40
55.44km/h, 65.37 V, -9.69A , 13:54:40
55.44km/h, 65.29 V, -9.90A , 13:54:40
55.45km/h, 65.28 V, -9.80A , 13:54:40
55.45km/h, 65.30 V, -9.76A , 13:54:40
55.42km/h, 65.32 V, -9.78A , 13:54:40
55.40km/h, 65.36 V, -9.62A , 13:54:40
55.37km/h, 65.40 V, -9.71A , 13:54:40
55.36km/h, 65.44 V, -9.73A , 13:54:40
55.35km/h, 65.50 V, -9.69A , 13:54:40
55.39km/h, 65.44 V, -9.98A , 13:54:40
55.44km/h, 65.53 V, -9.76A , 13:54:40
55.41km/h, 65.61 V, -9.46A , 13:54:40
55.38km/h, 65.59 V, -9.54A , 13:54:40
55.36km/h, 65.60 V, -9.46A , 13:54:40
55.40km/h, 65.59 V, -9.38A , 13:54:40
55.45km/h, 65.57 V, -9.55A , 13:54:41
55.47km/h, 65.63 V, -9.42A , 13:54:41
55.48km/h, 65.55 V, -9.42A , 13:54:41
55.47km/h, 65.57 V, -9.41A , 13:54:41
55.43km/h, 65.64 V, -9.33A , 13:54:41
55.44km/h, 65.63 V, -9.58A , 13:54:41
55.44km/h, 65.58 V, -9.75A , 13:54:41
55.45km/h, 65.59 V, -9.74A , 13:54:41
55.45km/h, 65.61 V, -9.86A , 13:54:41
55.44km/h, 65.54 V, -9.91A , 13:54:41
55.43km/h, 65.51 V, -9.79A , 13:54:41
55.41km/h, 65.42 V, -9.98A , 13:54:41
55.44km/h, 65.44 V, -10.15A , 13:54:41
55.46km/h, 65.44 V, -10.10A , 13:54:41
55.52km/h, 65.37 V, -9.91A , 13:54:41
55.48km/h, 65.34 V, -9.83A , 13:54:41
55.46km/h, 65.32 V, -9.73A , 13:54:41
55.44km/h, 65.34 V, -9.81A , 13:54:41
55.46km/h, 65.31 V, -9.72A , 13:54:41
55.45km/h, 65.40 V, -9.64A , 13:54:41
55.46km/h, 65.46 V, -9.80A , 13:54:41
55.47km/h, 65.49 V, -9.59A , 13:54:41
55.48km/h, 65.55 V, -9.47A , 13:54:41
55.48km/h, 65.49 V, -9.69A , 13:54:41
55.50km/h, 65.57 V, -9.64A , 13:54:41
55.51km/h, 65.65 V, -9.56A , 13:54:42
55.53km/h, 65.64 V, -9.74A , 13:54:42
55.57km/h, 65.72 V, -9.47A , 13:54:42
55.56km/h, 65.70 V, -9.55A , 13:54:42
55.55km/h, 65.67 V, -9.64A , 13:54:42
55.54km/h, 65.67 V, -9.40A , 13:54:42
55.51km/h, 65.67 V, -9.57A , 13:54:42
55.47km/h, 65.63 V, -9.85A , 13:54:42
55.48km/h, 65.71 V, -9.70A , 13:54:42
55.44km/h, 65.76 V, -9.83A , 13:54:42
55.46km/h, 65.69 V, -9.93A , 13:54:42
55.44km/h, 65.79 V, -9.74A , 13:54:42
55.41km/h, 65.74 V, -9.89A , 13:54:42
55.38km/h, 65.76 V, -10.04A , 13:54:42
55.40km/h, 65.75 V, -9.96A , 13:54:42
55.43km/h, 65.67 V, -10.11A , 13:54:42
55.48km/h, 65.67 V, -10.00A , 13:54:42
55.51km/h, 65.66 V, -9.81A , 13:54:42
55.53km/h, 65.58 V, -9.82A , 13:54:42
55.54km/h, 65.58 V, -9.61A , 13:54:42
55.47km/h, 65.61 V, -9.54A , 13:54:42
55.47km/h, 65.55 V, -9.61A , 13:54:42
55.47km/h, 65.57 V, -9.52A , 13:54:42
55.47km/h, 65.57 V, -9.37A , 13:54:42
55.46km/h, 65.56 V, -9.67A , 13:54:43
55.46km/h, 65.56 V, -9.68A , 13:54:43
55.46km/h, 65.56 V, -9.74A , 13:54:43
55.48km/h, 65.56 V, -9.72A , 13:54:43
55.42km/h, 65.60 V, -9.61A , 13:54:43
55.41km/h, 65.53 V, -9.86A , 13:54:43
55.48km/h, 65.42 V, -10.10A , 13:54:43
55.54km/h, 65.44 V, -9.99A , 13:54:43
55.57km/h, 65.38 V, -10.02A , 13:54:43
55.60km/h, 65.36 V, -10.10A , 13:54:43
55.63km/h, 65.32 V, -9.89A , 13:54:43
55.60km/h, 65.39 V, -9.75A , 13:54:43
55.55km/h, 65.35 V, -9.80A , 13:54:43
55.52km/h, 65.40 V, -9.60A , 13:54:43
55.56km/h, 65.33 V, -9.74A , 13:54:43
55.56km/h, 65.36 V, -9.67A , 13:54:43
55.53km/h, 65.45 V, -9.53A , 13:54:43
55.50km/h, 65.45 V, -9.58A , 13:54:43
55.51km/h, 65.51 V, -9.43A , 13:54:43
55.51km/h, 65.53 V, -9.26A , 13:54:43
55.50km/h, 65.53 V, -9.36A , 13:54:43
55.49km/h, 65.50 V, -9.40A , 13:54:43
55.52km/h, 65.55 V, -9.36A , 13:54:43
55.52km/h, 65.53 V, -9.67A , 13:54:43
55.54km/h, 65.62 V, -9.50A , 13:54:43
55.55km/h, 65.67 V, -9.53A , 13:54:44
55.57km/h, 65.67 V, -9.57A , 13:54:44
55.56km/h, 65.76 V, -9.52A , 13:54:44
55.52km/h, 65.77 V, -9.60A , 13:54:44
55.51km/h, 65.75 V, -9.76A , 13:54:44
55.47km/h, 65.84 V, -9.53A , 13:54:44
55.47km/h, 65.84 V, -9.63A , 13:54:44
55.49km/h, 65.83 V, -9.75A , 13:54:44
55.50km/h, 65.85 V, -9.60A , 13:54:44
55.50km/h, 65.80 V, -9.73A , 13:54:44
55.48km/h, 65.76 V, -9.75A , 13:54:44
55.51km/h, 65.76 V, -9.56A , 13:54:44
55.49km/h, 65.73 V, -9.59A , 13:54:44
55.51km/h, 65.72 V, -9.55A , 13:54:44
55.47km/h, 65.71 V, -9.56A , 13:54:44
55.51km/h, 65.65 V, -9.72A , 13:54:44
55.51km/h, 65.71 V, -9.50A , 13:54:44
55.48km/h, 65.77 V, -9.24A , 13:54:44
55.46km/h, 65.77 V, -9.28A , 13:54:44
55.42km/h, 65.76 V, -9.23A , 13:54:44
55.38km/h, 65.71 V, -9.23A , 13:54:44
55.34km/h, 65.67 V, -9.46A , 13:54:44
55.39km/h, 65.58 V, -9.52A , 13:54:44
55.41km/h, 65.53 V, -9.62A , 13:54:44
55.44km/h, 65.58 V, -9.64A , 13:54:44
55.41km/h, 65.61 V, -9.48A , 13:54:45
55.41km/h, 65.59 V, -9.58A , 13:54:45
55.41km/h, 65.47 V, -9.74A , 13:54:45
55.44km/h, 65.51 V, -9.63A , 13:54:45
55.43km/h, 65.53 V, -9.60A , 13:54:45
55.43km/h, 65.55 V, -9.64A , 13:54:45
55.42km/h, 65.63 V, -9.54A , 13:54:45
55.38km/h, 65.66 V, -9.59A , 13:54:45
55.32km/h, 65.69 V, -9.71A , 13:54:45
55.31km/h, 65.69 V, -9.60A , 13:54:45
55.29km/h, 65.70 V, -9.69A , 13:54:45
55.27km/h, 65.69 V, -9.66A , 13:54:45
55.25km/h, 65.77 V, -9.70A , 13:54:45
55.31km/h, 65.77 V, -9.84A , 13:54:45
55.35km/h, 65.80 V, -9.80A , 13:54:45
55.39km/h, 65.85 V, -9.59A , 13:54:45
55.42km/h, 65.81 V, -9.63A , 13:54:45
55.43km/h, 65.85 V, -9.49A , 13:54:45
55.46km/h, 65.86 V, -9.46A , 13:54:45
55.50km/h, 65.82 V, -9.66A , 13:54:45
55.54km/h, 65.81 V, -9.64A , 13:54:45
55.61km/h, 65.84 V, -9.74A , 13:54:45
55.63km/h, 65.83 V, -9.64A , 13:54:45
55.58km/h, 65.87 V, -9.48A , 13:54:45
55.55km/h, 65.89 V, -9.57A , 13:54:46
55.55km/h, 65.84 V, -9.76A , 13:54:46
55.51km/h, 65.86 V, -9.64A , 13:54:46
55.47km/h, 65.83 V, -9.73A , 13:54:46
55.44km/h, 65.88 V, -9.78A , 13:54:46
55.42km/h, 65.91 V, -9.65A , 13:54:46
55.42km/h, 65.99 V, -9.62A , 13:54:46
55.34km/h, 65.95 V, -9.67A , 13:54:46
55.28km/h, 65.98 V, -9.71A , 13:54:46
55.28km/h, 65.93 V, -9.82A , 13:54:46
55.25km/h, 65.89 V, -9.79A , 13:54:46
55.21km/h, 65.87 V, -9.84A , 13:54:46
55.23km/h, 65.74 V, -10.05A , 13:54:46
55.31km/h, 65.75 V, -9.92A , 13:54:46
55.35km/h, 65.70 V, -9.73A , 13:54:46
55.33km/h, 65.67 V, -9.78A , 13:54:46
55.36km/h, 65.59 V, -9.79A , 13:54:46
55.43km/h, 65.56 V, -9.73A , 13:54:46
55.53km/h, 65.49 V, -9.73A , 13:54:46
55.50km/h, 65.45 V, -9.63A , 13:54:46
55.54km/h, 65.40 V, -9.63A , 13:54:46
55.55km/h, 65.42 V, -9.59A , 13:54:46
55.56km/h, 65.55 V, -9.37A , 13:54:46
55.48km/h, 65.53 V, -9.49A , 13:54:46
55.45km/h, 65.53 V, -9.60A , 13:54:46
55.44km/h, 65.49 V, -9.63A , 13:54:47
55.41km/h, 65.44 V, -9.71A , 13:54:47
55.37km/h, 65.40 V, -9.80A , 13:54:47
55.36km/h, 65.43 V, -9.87A , 13:54:47
55.39km/h, 65.49 V, -9.84A , 13:54:47
55.37km/h, 65.53 V, -9.92A , 13:54:47
55.37km/h, 65.60 V, -9.74A , 13:54:47
55.35km/h, 65.67 V, -9.74A , 13:54:47
55.35km/h, 65.69 V, -9.59A , 13:54:47
55.35km/h, 65.71 V, -9.54A , 13:54:47
55.38km/h, 65.83 V, -9.47A , 13:54:47
55.35km/h, 65.92 V, -9.33A , 13:54:47
55.36km/h, 65.99 V, -9.23A , 13:54:47
55.32km/h, 66.01 V, -9.36A , 13:54:47
55.34km/h, 66.01 V, -9.42A , 13:54:47
55.39km/h, 66.05 V, -9.40A , 13:54:47
55.42km/h, 65.99 V, -9.54A , 13:54:47
55.44km/h, 65.92 V, -9.50A , 13:54:47
55.51km/h, 65.87 V, -9.64A , 13:54:47
55.53km/h, 65.85 V, -9.77A , 13:54:47
55.54km/h, 65.84 V, -9.81A , 13:54:47
55.59km/h, 65.83 V, -9.90A , 13:54:47
55.60km/h, 65.81 V, -9.96A , 13:54:47
55.61km/h, 65.87 V, -9.66A , 13:54:47
55.56km/h, 65.87 V, -9.69A , 13:54:48
55.49km/h, 65.87 V, -9.70A , 13:54:48
55.43km/h, 65.93 V, -9.60A , 13:54:48
